race_date,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge
2026-08-15,中京,1,950,5,ルガルデ,49.5,10.0,0.016006687040688423,0.026289203081136147,1.3013155525162392,1.642388772536749
2026-08-15,札幌,4,1130,2,シエルブリエ,17.9,8.0,0.04393776715674146,0.07497138567863106,1.3419878036474957,1.706308502459439
2026-08-15,札幌,4,1130,7,コイバナ,21.1,9.0,0.0372742195310745,0.0595470600774999,1.256442967635248,1.5975400914258484
2026-08-15,札幌,4,1130,8,ワイルドカイザー,61.3,12.0,0.012830114716242612,0.017656945789876068,1.0823707769194029,1.376211061271557
2026-08-15,中京,5,1150,12,ショルタメンテ,12.8,9.0,0.062042249434529365,0.10220541868328713,1.3082293591460754,1.6473519192939692
2026-08-15,中京,5,1150,4,アティラン,93.4,15.0,0.008502578080963339,0.013908632918357665,1.299066314574606,1.6358136068750835
2026-08-15,札幌,11,1535,10,モズカトレア,19.0,11.0,0.04172280156293739,0.06036917633014584,1.147014350272771,1.4469108992856352
2026-08-15,新潟,11,1745,1,ジーティーソレイユ,22.3,10.0,0.03568543518649278,0.05091422483811018,1.135387213889857,1.4267508458852034
2026-08-15,中京,12,1830,14,ファーヴニル,91.5,14.0,0.008668355871356838,0.012445984269789625,1.1388075606857506,1.4357952597349333
