区分,点数,的中,的中率,回収率,回収率90percent区間,市場の期待的中,比,中央オッズ
上位1%,8,0,0.0,0.0,"[0, 0]",0.43,0.0,46.2
上位2%,18,0,0.0,0.0,"[0, 0]",0.74,0.0,54.6
上位3%,28,0,0.0,0.0,"[0, 0]",1.81,0.0,37.7
上位5%,45,4,8.9,59.8,"[8, 122]",3.24,1.236,32.4
全馬(参考),947,71,7.5,76.2,"[53, 105]",69.61,1.02,22.0
