race_date,race_code,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge,data_poor,pick_a,pick_d,pick_e,pick_e2,model_ver
2026-09-26,2026092606040801,中山,1,945,10,ハイトラクション　　　　　　　　　　,25.2,8,0.03141551308849354,0.04366917245448224,1.1004631458529526,1.390051225057878,True,True,False,False,False,clean-20260922
2026-09-26,2026092606040807,中山,7,1310,13,カテドラルクォーツ　　　　　　　　　,11.5,5,0.06930917134866114,0.11774670589797691,1.3540871178267344,1.698861833243537,False,True,True,True,True,clean-20260922
2026-09-26,2026092609040811,阪神,11,1545,13,ラムジェット　　　　　　　　　　　　,3.8,1,0.20978446464534659,0.31083443006855366,1.1811708342605038,1.4816846928777028,False,True,True,True,True,clean-20260922
2026-09-26,2026092606040812,中山,12,1610,4,グラスブランシュ　　　　　　　　　　,68.4,13,0.011624962658179267,0.018201442354526386,1.2449786570496049,1.5657205007639263,False,True,True,False,False,clean-20260922
2026-09-26,2026092609040812,阪神,12,1630,9,シュバルツガイスト　　　　　　　　　,20.6,8,0.03861202714497175,0.053972570914869226,1.111834960846306,1.3978175948189708,False,True,False,False,False,clean-20260922
2026-09-26,2026092609040812,阪神,12,1630,16,ダズリングダンス　　　　　　　　　　,28.2,13,0.02820594890731979,0.03974573917339268,1.1208298446896734,1.409126113926916,False,True,False,False,False,clean-20260922
