race_date,race_code,umaban,bamei,chaku,odds_fin
2026-09-21,2026092109040701,1,ハイネスプラウド　　　　　　　　　　,4.0,17.0
2026-09-21,2026092109040701,2,マコトブリッツ　　　　　　　　　　　,2.0,14.4
2026-09-21,2026092109040701,3,ポカポカヨウキ　　　　　　　　　　　,3.0,2.0
2026-09-21,2026092109040701,4,ワンダーラヴグッド　　　　　　　　　,7.0,93.6
2026-09-21,2026092109040701,5,ガヤーズサムライ　　　　　　　　　　,1.0,10.0
2026-09-21,2026092109040701,6,ランズエンド　　　　　　　　　　　　,6.0,8.9
2026-09-21,2026092109040701,7,ゴルディアス　　　　　　　　　　　　,8.0,69.2
2026-09-21,2026092109040701,8,エコロラーダ　　　　　　　　　　　　,5.0,2.4
2026-09-21,2026092109040702,1,マリアンデール　　　　　　　　　　　,1.0,4.2
2026-09-21,2026092109040702,2,ジーティーハルカゼ　　　　　　　　　,6.0,30.1
2026-09-21,2026092109040702,3,ハマナスノサクコロ　　　　　　　　　,3.0,6.2
2026-09-21,2026092109040702,4,ドリームリボン　　　　　　　　　　　,10.0,138.4
2026-09-21,2026092109040702,5,リアンフィニ　　　　　　　　　　　　,4.0,2.8
2026-09-21,2026092109040702,6,ルージュムーサ　　　　　　　　　　　,9.0,89.4
2026-09-21,2026092109040702,7,イテルム　　　　　　　　　　　　　　,5.0,11.6
2026-09-21,2026092109040702,8,パルフェクシオン　　　　　　　　　　,8.0,7.8
2026-09-21,2026092109040702,9,ラガッタレアーレ　　　　　　　　　　,2.0,4.8
2026-09-21,2026092109040702,10,スターリーデー　　　　　　　　　　　,7.0,26.6
2026-09-21,2026092109040703,1,アトランタ　　　　　　　　　　　　　,7.0,31.3
2026-09-21,2026092109040703,2,メイショウレイナ　　　　　　　　　　,12.0,137.7
2026-09-21,2026092109040703,3,コジアン　　　　　　　　　　　　　　,4.0,8.4
2026-09-21,2026092109040703,4,エルダークローネ　　　　　　　　　　,5.0,7.1
2026-09-21,2026092109040703,5,ケンシロウワールド　　　　　　　　　,13.0,22.0
2026-09-21,2026092109040703,6,ノヴァーリス　　　　　　　　　　　　,1.0,6.2
2026-09-21,2026092109040703,7,カフジポポー　　　　　　　　　　　　,10.0,95.7
2026-09-21,2026092109040703,8,キャンドル　　　　　　　　　　　　　,8.0,48.3
2026-09-21,2026092109040703,9,カツダルマ　　　　　　　　　　　　　,2.0,1.7
2026-09-21,2026092109040703,10,メイショウスパーク　　　　　　　　　,3.0,98.2
2026-09-21,2026092109040703,11,コメットサン　　　　　　　　　　　　,11.0,52.3
2026-09-21,2026092109040703,12,ミライノシャチョウ　　　　　　　　　,9.0,20.1
