race_date,race_code,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge,data_poor,pick_a,pick_d,pick_e,pick_e2
2026-09-21,2026092109040706,阪神,6,1255,8,ルシタニア　　　　　　　　　　　　　,7.6,2,0.10465684738481443,0.13523919448009228,1.0278178780487013,1.2922154437045972,False,True,True,True,False
2026-09-21,2026092109040709,阪神,9,1425,15,シーニックビュー　　　　　　　　　　,20.5,9,0.03879178867036534,0.05540481797554838,1.1357987684987418,1.4282614923058297,False,True,True,False,True
2026-09-21,2026092109040710,阪神,10,1505,14,サトノクローク　　　　　　　　　　　,40.6,12,0.01962838005425875,0.024147143270684526,0.9803740167897917,1.2302157999760832,False,True,False,False,False
