race_date,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge,data_poor,pick_a,pick_d,pick_e,pick_e2
2026-08-23,中京,4,1120,3,アクシュラ,26.6,10.0,0.029898871948296216,0.040165568393687366,1.068404119272084,1.3433807289835293,False,True,True,False,False
2026-08-23,札幌,7,1325,6,トライゴーニック,7.0,3.0,0.11386269382131274,0.14556624358245313,1.0189637050771718,1.2784366740074977,False,True,True,True,True
2026-08-23,新潟,6,1450,12,ルクスビッグスター,20.9,10.0,0.03795256132694815,0.05619779495861436,1.17453391463504,1.4807378736441488,False,True,True,False,True
2026-08-23,札幌,10,1510,9,ヒミノエトワール,11.8,9.0,0.06729944640562704,0.08915503083150277,1.0520293638117326,1.324751325503449,False,True,True,True,True
2026-08-23,中京,8,1610,9,ベルピルエット,27.4,12.0,0.0290428797494305,0.03945789100118124,1.081146213432366,1.358608076802541,False,True,True,False,False
2026-08-23,札幌,12,1620,12,ミリオンクラウン,5.8,1.0,0.1373729329073779,0.17526545990820824,1.0165396674676077,1.2758369221568484,False,True,False,False,False
2026-08-23,中京,10,1720,3,アルダ,11.7,5.0,0.06735888523128297,0.09390746215761799,1.0987173072441303,1.3941362276881217,False,True,True,True,True
2026-08-23,中京,11,1750,4,エルハーベン,4.9,1.0,0.16218458486062892,0.2077968785825753,1.018204705054619,1.2812369237257826,False,True,False,True,False
2026-08-23,中京,12,1820,10,フルドフォルク,56.1,12.0,0.014189332910738844,0.021009001892922926,1.1786050061929763,1.4806194220041722,False,True,True,False,False
