race_date,race_code,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge,data_poor,pick_a,pick_d,pick_e,pick_e2
2026-09-20,2026092006040601,中山,1,1000,9,リュウノタキノボリ　　　　　　　　　,11.5,3,0.06886490771114877,0.08868588207611741,1.0198876438753501,1.287824016959508,True,True,False,False,False
2026-09-20,2026092006040601,中山,1,1000,14,コーズウルルン　　　　　　　　　　　,27.1,8,0.02922311581838416,0.0381157616323583,1.03293714023691,1.3043017681358882,True,True,False,False,False
2026-09-20,2026092009040608,阪神,8,1340,15,アウローラシエル　　　　　　　　　　,40.5,13,0.019556886219591486,0.02895662927511074,1.172743485641985,1.4806359739467565,False,True,True,False,False
2026-09-20,2026092009040609,阪神,9,1410,6,ガーネットフレア　　　　　　　　　　,5.5,2,0.14440525835557239,0.224334110583582,1.233837608209701,1.5535037514437249,False,True,True,True,True
2026-09-20,2026092009040611,阪神,11,1530,11,ポエットリー　　　　　　　　　　　　,21.3,10,0.03736867348808788,0.04947682259134504,1.0538563211956493,1.3240187026472028,False,True,False,False,False
2026-09-20,2026092009040612,阪神,12,1610,13,ブルームザスマイル　　　　　　　　　,12.7,4,0.06185981208377152,0.0830173430528818,1.0543202567715988,1.342023848059196,False,True,True,True,True
