race_date,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge
2026-08-16,札幌,2,1030,8,モミスケ,5.6,3.0,0.14024649675738607,0.1992648082390354,1.115882926138598,1.4208184364401326
2026-08-16,中京,4,1120,10,ニミッツハイウェイ,23.4,10.0,0.034069759562205974,0.04516848009011405,1.0569424341086688,1.3257645686534294
2026-08-16,札幌,4,1130,2,トランスマリーン,14.0,8.0,0.056292745683914305,0.08327634513592426,1.1658688319029396,1.4793441699135408
2026-08-16,札幌,7,1325,8,アームアンフルール,54.9,13.0,0.014463038994302582,0.019675526915926465,1.080186427684363,1.360400599326133
2026-08-16,新潟,7,1525,14,カンパニョーラ,17.5,9.0,0.04557555051039368,0.06640442162810267,1.1620773784917968,1.4570185304280392
2026-08-16,中京,8,1615,2,マキシマムビスタ,12.9,8.0,0.061696829468780974,0.08084981151869461,1.0429625685911605,1.3104370551100228
2026-08-16,中京,10,1730,15,ブラッドムーン,14.9,8.0,0.05343432466650158,0.07683533413420011,1.1448464785995818,1.4379396504728135
2026-08-16,新潟,12,1820,9,ディメンシア,24.3,10.0,0.032696783396880924,0.04403229975071916,1.0699848839424755,1.3466859787473642
2026-08-16,中京,12,1830,4,サトノディヴァイン,20.6,9.0,0.03845359851379813,0.05174066062989486,1.0658576089758343,1.345534946783433
