race_date,race_code,umaban,bamei,chaku,odds_fin
2026-08-22,2026082207030112,16,マテンロウノア,15,175.7000000000000000
2026-08-22,2026082201020101,6,マーズエクレール,2,33.9000000000000000
2026-08-22,2026082207030110,8,ブルーストレイル,9,251.8000000000000000
2026-08-22,2026082207030111,9,オースミサイファー,8,27.5000000000000000
2026-08-22,2026082201020101,7,トゥザファイナル,1,1.8000000000000000
2026-08-22,2026082201020101,10,レゾルートハート,11,19.9000000000000000
2026-08-22,2026082201020102,4,イントゥーザブルー,3,9.5000000000000000
2026-08-23,2026082304030206,8,プルートマスター,10,9.3000000000000000
2026-08-23,2026082304030212,4,タニセンローマ,3,40.8000000000000000
2026-08-23,2026082304030206,5,パフ,11,15.2000000000000000
2026-08-23,2026082304030208,3,マンウォル,10,73.9000000000000000
2026-08-23,2026082304030211,8,スペルビア,17,100.7000000000000000
2026-08-23,2026082307030206,9,オックスアイ,5,47.6000000000000000
2026-08-23,2026082307030211,17,リアライズブラーヴ,8,28.0000000000000000
2026-08-23,2026082307030207,13,ハピ,4,8.2000000000000000
2026-08-23,2026082304030212,5,カズシ,5,54.8000000000000000
2026-08-23,2026082307030207,11,マリオロード,3,103.6000000000000000
2026-08-22,2026082201020102,3,ロードレスポンス,6,39.7000000000000000
2026-08-22,2026082201020102,6,ヒアカムズザサン,1,2.9000000000000000
2026-08-22,2026082201020105,3,スピカテソーロ,8,8.1000000000000000
2026-08-22,2026082207030111,8,サルタラリンダ,,
2026-08-22,2026082207030111,15,ホワイトフレイムス,4,7.8000000000000000
2026-08-22,2026082207030112,4,スイートポメロ,3,26.2000000000000000
2026-08-22,2026082207030112,5,サンジルダール,10,93.0000000000000000
2026-08-22,2026082207030112,6,ボールドペイト,5,117.5000000000000000
2026-08-22,2026082207030112,9,グレンセロース,4,6.4000000000000000
2026-08-23,2026082307030210,12,メイショウナナシロ,1,1.7000000000000000
2026-08-22,2026082201020108,2,リピース,8,25.6000000000000000
2026-08-22,2026082204030112,2,セイウンヤオヨロズ,5,5.9000000000000000
2026-08-22,2026082207030108,9,クラッチスラッガー,10,7.0000000000000000
2026-08-22,2026082204030112,11,モリガン,14,175.7000000000000000
2026-08-22,2026082207030106,7,タイガースパーク,3,108.8000000000000000
2026-08-22,2026082207030107,14,ナッカーフェイス,8,117.1000000000000000
2026-08-22,2026082201020111,8,ピンクジン,6,18.5000000000000000
2026-08-22,2026082204030108,4,アルジェンタージョ,9,96.2000000000000000
2026-08-23,2026082304030206,2,アークドール,9,33.2000000000000000
2026-08-22,2026082204030112,14,アリアーネ,6,331.7000000000000000
2026-08-22,2026082207030109,1,シャンドゥレール,2,29.6000000000000000
2026-08-22,2026082204030110,15,ツインピークス,8,11.6000000000000000
2026-08-22,2026082204030112,1,モーリア,8,61.3000000000000000
