race_date,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge,batch,chaku,odds_fin,data_poor,pick_a,pick_d,pick_e,pick_e2
2026-08-22,中京,6,1501,3,マヴィ,21.0,8.0,0.0377536082913496,0.0581513338971573,1.2211780118403048,1.5402854595617934,predictions_20260822_0844.csv,11.0,19.9,False,True,True,False,True
2026-08-22,新潟,12,1810,1,モーリア,20.8,9.0,0.0382012405576667,0.0574760014715513,1.1955008306082688,1.5045585073287968,predictions_20260822_0844.csv,8.0,61.3,False,True,True,False,True
2026-08-22,新潟,4,1110,10,ペールデュクラン,10.0,5.0,0.0791251854699602,0.1149104446321121,1.149104446321121,1.452261298973356,predictions_20260822_0844.csv,11.0,15.0,False,True,True,True,False
2026-08-22,札幌,6,1250,10,レットミーテイク,9.6,4.0,0.0820795493664778,0.1178594293650513,1.1314505219044926,1.4359171105925477,predictions_20260822_0844.csv,3.0,7.9,False,True,True,True,False
2026-08-22,札幌,7,1325,8,セイウンバジリスク,3.7,1.0,0.2136391770401274,0.2878925331223563,1.0652023725527184,1.347564323692756,predictions_20260822_0844.csv,5.0,8.5,False,True,False,False,False
2026-08-22,札幌,9,1435,13,ウィエダンド,12.1,5.0,0.0657928206240635,0.0871269916519194,1.0542365989882252,1.324262903239217,predictions_20260822_0844.csv,5.0,10.6,True,True,False,False,False
2026-08-23,中京,12,1820,10,フルドフォルク,56.1,12.0,0.0141893329107388,0.0210090018929229,1.1786050061929765,1.4806194220041722,predictions_20260823_0812.csv,10.0,169.5,False,True,True,False,False
2026-08-23,新潟,6,1450,12,ルクスビッグスター,20.9,10.0,0.0379525613269481,0.0561977949586143,1.17453391463504,1.4807378736441488,predictions_20260823_0812.csv,7.0,39.3,False,True,True,False,True
2026-08-23,中京,10,1720,3,アルダ,11.7,5.0,0.0673588852312829,0.0939074621576179,1.0987173072441303,1.3941362276881215,predictions_20260823_0812.csv,12.0,19.5,False,True,True,True,True
2026-08-23,中京,8,1610,9,ベルピルエット,27.4,12.0,0.0290428797494305,0.0394578910011812,1.081146213432366,1.358608076802541,predictions_20260823_0812.csv,13.0,123.2,False,True,True,False,False
2026-08-23,中京,4,1120,3,アクシュラ,26.6,10.0,0.0298988719482962,0.0401655683936873,1.068404119272084,1.3433807289835291,predictions_20260823_0812.csv,9.0,25.9,False,True,True,False,False
2026-08-23,札幌,10,1510,9,ヒミノエトワール,11.8,9.0,0.067299446405627,0.0891550308315027,1.0520293638117326,1.324751325503449,predictions_20260823_0812.csv,5.0,9.8,False,True,True,True,True
2026-08-23,札幌,7,1325,6,トライゴーニック,7.0,3.0,0.1138626938213127,0.1455662435824531,1.0189637050771718,1.2784366740074975,predictions_20260823_0812.csv,3.0,15.8,False,True,True,True,True
2026-08-23,中京,11,1750,4,エルハーベン,4.9,1.0,0.1621845848606289,0.2077968785825753,1.018204705054619,1.2812369237257826,predictions_20260823_0812.csv,1.0,6.7,False,True,False,True,False
2026-08-23,札幌,12,1620,12,ミリオンクラウン,5.8,1.0,0.1373729329073779,0.1752654599082082,1.0165396674676077,1.2758369221568484,predictions_20260823_0812.csv,1.0,4.3,False,True,False,False,False
